Referencia;Nome;Categoria;Preco;Imagem;Preco Final;Id Categoria;Ativo
P.22.0030;Pinhao de ataque 25H / 6 Dentes (completo, COM PROTEÇÃO), MINIMOTO 47cc-49cc;  Roletes ;20,33;https://motoxpert.pt/web/image/product.template/2124/image?unique=53a0ed1;25,0059;30;1
PROD13370;KIT - Discos de Embraiagem (de 2 discos) / PITBIKE (50-110-125);  Embraiagem ;28,46;https://motoxpert.pt/web/image/product.template/36342/image?unique=e756ba2;35,0058;31;1
P4673;Embraiagem (completa), K157FMI;  Embraiagem ;186,99;https://motoxpert.pt/web/image/product.template/7201/image?unique=5d7e702;229,9977;31;1
PROD13492;Embraiagem (MAXILAS) 105mm, MINARELLI / 1E40QMB;  Embraiagem ;26,42;https://motoxpert.pt/web/image/product.template/36468/image?unique=21f45c9;32,4966;31;1
NK900.78;Molas de Embraiagem (+2000 rpm), KYMCO / HONDA / GY6 125 152QMI;  Embraiagem ;9,76;https://motoxpert.pt/web/image/product.template/19034/image?unique=b54fdad;12,0048;31;1
P7405;Embraiagem (completa) ATV 250cc BASHAN BS250S11 167MM;  Embraiagem ;97,56;https://motoxpert.pt/web/image/product.template/15746/image?unique=b54fdad;119,9988;31;1
P7341;Embraiagem Centriguga, JS171FMM / JS250ATV-3A JS250ATV-5;  Embraiagem ;135,45;https://motoxpert.pt/web/image/product.template/11027/image?unique=b54fdad;166,6035;31;1
84687;Carreto Primario da Embraiagem 18T, DAYTONA ANIMA 2.0 PITBIKE ;  Embraiagem ;20,33;https://motoxpert.pt/web/image/product.template/8669/image?unique=d0c8a04;25,0059;31;1
P4672;KIT - Discos de Embraiagem, K157FMI;  Embraiagem ;72,36;https://motoxpert.pt/web/image/product.template/7202/image?unique=c910498;89,0028;31;1
P4500;Embraiagem (completa, discos), 17 Dentes, ATV90/110;  Embraiagem ;48,78;https://motoxpert.pt/web/image/product.template/6990/image?unique=eb4a334;59,9994;31;1
P1302;Kit 6 Borrachas Embraiagem Reforç. YCF;  Embraiagem ;23,58;https://motoxpert.pt/web/image/product.template/5784/image?unique=d0c8a04;29,0034;31;1
P1298;Embraiagem Completa, ST125 / V-Raptor, 156FMI;  Embraiagem ;97,56;https://motoxpert.pt/web/image/product.template/5773/image?unique=6223744;119,9988;31;1
P1299;Embraiagem (completa, de 7 discos/6 parafusos), 30mm / 73 dentes / 130mm (largura da cremalheira 13mm);  Embraiagem ;97,56;https://motoxpert.pt/web/image/product.template/5772/image?unique=289efc1;119,9988;31;1
YC50-20-81;Embraiagem Completa, YCF 50A / PITBIKE;  Embraiagem ;39,84;https://motoxpert.pt/web/image/product.template/4824/image?unique=bb3afcd;49,0032;31;1
P342;Embraiagem 33cc-52cc, TROTINETE/ROÇADORA;  Embraiagem ;14,63;https://motoxpert.pt/web/image/product.template/4457/image?unique=d0c8a04;17,9949;31;1
P.34.0090;KIT - Molas De Embraiagem (x3), MINIMOTO 49 ;  Embraiagem ;2,36;https://motoxpert.pt/web/image/product.template/3535/image?unique=d0c8a04;2,9028;31;1
P.34.0001;Embraiagem (completa, ferodo/maxilas), ATV90/110;  Embraiagem ;16,26;https://motoxpert.pt/web/image/product.template/3497/image?unique=d67ea48;19,9998;31;1
P.34.0095;Ferodo / Maxilas de Embraiagem, ATV90/110;  Embraiagem ;12,2;https://motoxpert.pt/web/image/product.template/3428/image?unique=108042d;15,006;31;1
P.34.0096;Embraiagem (maxilas), 132mm, LINHAI 260 / 300, ATV GTX 300;  Embraiagem ;97,56;https://motoxpert.pt/web/image/product.template/3411/image?unique=515b321;119,9988;31;1
P.34.0092;Embraiagem (completa, de variador), LINHAI YAMAHA 250 260 300 / ATV (GTX300) YP250 LH170MN ;  Embraiagem ;161,79;https://motoxpert.pt/web/image/product.template/3410/image?unique=d876ae3;199,0017;31;1
P.34.0098;Embraiagem, Moto-Serra 2000;  Embraiagem ;2,43;https://motoxpert.pt/web/image/product.template/3245/image?unique=a9af2ce;2,9889;31;1
P.34.0002;Embraiagem (completa, discos), 18 Dentes, ATV90/110;  Embraiagem ;48,78;https://motoxpert.pt/web/image/product.template/3121/image?unique=b06e769;59,9994;31;1
P.16.0067.0035;Embraiagem (completa, de 5 discos), 17mm / 69 dentes / 121mm (largura da cremalheira 12,5mm);  Embraiagem ;64,23;https://motoxpert.pt/web/image/product.template/2858/image?unique=2f85c24;79,0029;31;1
P.16.0067.0038;Tirante Embraiagem 156FMI;  Embraiagem ;28,46;https://motoxpert.pt/web/image/product.template/2650/image?unique=6f9c44d;35,0058;31;1
P.16.0067.0029;Embraiagem (DISCOS), RENLI, XY500 GK, CFMOTO 500, CF188;  Embraiagem ;219,51;https://motoxpert.pt/web/image/product.template/2413/image?unique=19961db;269,9973;31;1
P.16.0067.0023;Embraiagem (completa, de variador), SCOOTER / ATV, CFMOTO, CF250, 172MM;  Embraiagem ;97,56;https://motoxpert.pt/web/image/product.template/2407/image?unique=d0c8a04;119,9988;31;1
P.16.0067.0017;Embraiagem (completa, de variador), c/ Prato 112mm, CPI KEEWAY JOG 1E40QMB;  Embraiagem ;57,32;https://motoxpert.pt/web/image/product.template/2406/image?unique=41d68da;70,5036;31;1
P.16.0067.0030;Embraiagem (completa, de 7 discos/6 parafusos), 30mm / 70 dentes, ATV 250;  Embraiagem ;97,56;https://motoxpert.pt/web/image/product.template/2405/image?unique=a652df7;119,9988;31;1
P.16.0067.0033;Embraiagem (completa, de 6 discos), 30mm / 70 dentes / 127mm (largura da cremalheira 12,5mm);  Embraiagem ;96,75;https://motoxpert.pt/web/image/product.template/2404/image?unique=6223744;119,0025;31;1
P.16.0067.0034;Embraiagem (completa, de 5 discos), 30mm / 73 dentes / 130mm (largura da cremalheira 10mm);  Embraiagem ;96,75;https://motoxpert.pt/web/image/product.template/2403/image?unique=6223744;119,0025;31;1
P.16.0067.0032;Embraiagem (completa, de 5 discos), 30mm / 70 dentes / 126mm (largura da cremalheira 12.5mm);  Embraiagem ;96,75;https://motoxpert.pt/web/image/product.template/2402/image?unique=6223744;119,0025;31;1
P.16.0067.0001;Embraiagem (completa, de variador) (c/ Altas/Baixas), HAMMERHEAD-TBM (GTS250) CF250 172MM;  Embraiagem ;203,21;https://motoxpert.pt/web/image/product.template/2401/image?unique=05e73ec;249,9483;31;1
P.16.0211;Carreto primário embraiagem 156 FMI;  Embraiagem ;16,26;https://motoxpert.pt/web/image/product.template/2325/image?unique=c3a2cfe;19,9998;31;1
P.09.0001;Embraiagem (completa, de discos), 125cc, PITBIKE;  Embraiagem ;48,78;https://motoxpert.pt/web/image/product.template/1138/image?unique=9965bb6;59,9994;31;1
204-7-2;Tampa interna, da Embraiagem PITBIKE 125;  Embraiagem ;8,08;https://motoxpert.pt/web/image/product.template/34395/image?unique=313916d;9,9384;31;1
P.16.0067.0018;Embraiagem (completa,de variador), GY6 50 139QMB;  Embraiagem ;60,98;https://motoxpert.pt/web/image/product.template/2153/image?unique=72c6997;75,0054;31;1
D01G010LBX;Veio da Alavanca de Embraiagem (TIPO 1), YX 125, PITBIKE;  Embraiagem ;15,45;https://motoxpert.pt/web/image/product.template/6282/image?unique=410e8d5;19,0035;31;1
P2762;Mola da Alavanca da Embraiagem A00H007BX, PITBIKE;  Embraiagem ;4,47;https://motoxpert.pt/web/image/product.template/6363/image?unique=9b6f547;5,4981;31;1
204-6-9;Chapa de pressão / acção da embraiagem, PITBIKE;  Embraiagem ;4,88;https://motoxpert.pt/web/image/product.template/9084/image?unique=e666829;6,0024;31;1
